nome,categoria,origem
Manjar de coco com calda de ameixa,Açúcares e doces,TBCA 7.2
Maria mole,Açúcares e doces,TBCA 7.2
Maria mole de coco,Açúcares e doces,TBCA 7.2
Maria mole de coco queimado,Açúcares e doces,TBCA 7.2
Marmelada,Açúcares e doces,TBCA 7.2
Marshmallow,Açúcares e doces,TBCA 7.2
Marzipã,Açúcares e doces,TBCA 7.2
Massa brise diet assada,Açúcares e doces,TBCA 7.2
Massa de chesse cake,Açúcares e doces,TBCA 7.2
Mel de abelha,Açúcares e doces,TBCA 7.2
Melado cana,Açúcares e doces,TBCA 7.2
Merengue com frutas vermelhas,Açúcares e doces,TBCA 7.2
Mistura para mousse de chocolate preparada,Açúcares e doces,TBCA 7.2
Mistura para mousse de limão preparado,Açúcares e doces,TBCA 7.2
Mistura para mousse de maracujá preparado,Açúcares e doces,TBCA 7.2
Mistura para mousse preparada,Açúcares e doces,TBCA 7.2
Mistura para sagu de cereja preparada,Açúcares e doces,TBCA 7.2
Mistura para sagu de framboesa preparada,Açúcares e doces,TBCA 7.2
Mistura para sagu de morango preparada,Açúcares e doces,TBCA 7.2
Mistura para sagu de uva preparado,Açúcares e doces,TBCA 7.2
Mistura para sagu preparada,Açúcares e doces,TBCA 7.2
Mousse de uva,Açúcares e doces,TBCA 7.2
Olho de sogra,Açúcares e doces,TBCA 7.2
Paçoca de amendoim,Açúcares e doces,TBCA 7.2
Palha italiana,Açúcares e doces,TBCA 7.2
Pastel de nata,Açúcares e doces,TBCA 7.2
Pastel de nata,Açúcares e doces,TBCA 7.2
Pastel frito com recheio de brigadeiro,Açúcares e doces,TBCA 7.2
Pastel frito com recheio de doce de leite,Açúcares e doces,TBCA 7.2
Pavê de baunilha,Açúcares e doces,TBCA 7.2
Pavê de bombom,Açúcares e doces,TBCA 7.2
Pavê de morango,Açúcares e doces,TBCA 7.2
Pé de moça,Açúcares e doces,TBCA 7.2
Pé-de-moleque de amendoim,Açúcares e doces,TBCA 7.2
Petit gateau,Açúcares e doces,TBCA 7.2
Petit gateau com sorvete e calda de chocolate,Açúcares e doces,TBCA 7.2
Picolé industrializado com suco de fruta,Açúcares e doces,TBCA 7.2
Pudim de caramelo em pó preparado,Açúcares e doces,TBCA 7.2
Pudim de chocolate em pó preparado (Oetker),Açúcares e doces,TBCA 7.2
Pudim de coco em pó preparado (Oetker),Açúcares e doces,TBCA 7.2
Pudim de leite com calda de caramelo em pó preparado (Oetker),Açúcares e doces,TBCA 7.2
Pudim de morango em pó preparado (Oetker),Açúcares e doces,TBCA 7.2
Pudim em pó preparado,Açúcares e doces,TBCA 7.2
Queijadinha com coco,Açúcares e doces,TBCA 7.2
Quindim,Açúcares e doces,TBCA 7.2
Rapadura,Açúcares e doces,TBCA 7.2
Rocambole com recheado com doce de leite e nozes com cobertura de açúcar,Açúcares e doces,TBCA 7.2
Rocambole recheado com brigadeiro e cobertura de cacau em pó,Açúcares e doces,TBCA 7.2
Rocambole recheado com doce de leite e cobertura de açúcar,Açúcares e doces,TBCA 7.2
Sagu de mandioca preparado com suco de uva e açúcar,Açúcares e doces,TBCA 7.2
Sagu de mandioca preparado com vinho tinto e açúcar,Açúcares e doces,TBCA 7.2
Sorvete industrializado,Açúcares e doces,TBCA 7.2
Sorvete na casquinha industrializado,Açúcares e doces,TBCA 7.2
Sorvete sundae,Açúcares e doces,TBCA 7.2
Strudel de maçã,Açúcares e doces,TBCA 7.2
Suspiro merengue caseiro,Açúcares e doces,TBCA 7.2
Suspiro merengue recheado com doce de leite,Açúcares e doces,TBCA 7.2
Terrine cappucino,Açúcares e doces,TBCA 7.2
Torrone com amêndoas,Açúcares e doces,TBCA 7.2
Toucinho do céu,Açúcares e doces,TBCA 7.2
Trufa de chocolate com cereja,Açúcares e doces,TBCA 7.2
Trufa de chocolate com cereja e licor,Açúcares e doces,TBCA 7.2
Waffle,Açúcares e doces,TBCA 7.2
Waffle com morango e mel,Açúcares e doces,TBCA 7.2
"Canjão desidratado - galinha, arroz e legumes",Alimentos industrializados,TBCA
Chantily em pó,Alimentos industrializados,TBCA
Chantily em pó (Chantineve),Alimentos industrializados,TBCA
Chantily em pó (Ducoco),Alimentos industrializados,TBCA
Flan de baunilha em pó,Alimentos industrializados,TBCA
Flan de chocolate em pó,Alimentos industrializados,TBCA
Flan de chocolate em pó,Alimentos industrializados,TBCA
Flan de coco em pó,Alimentos industrializados,TBCA
Flan em pó,Alimentos industrializados,TBCA
Gelatina de abacaxi em pó (Ducoco),Alimentos industrializados,TBCA
Gelatina de abacaxi em pó (Oetker),Alimentos industrializados,TBCA
Gelatina de cereja em pó,Alimentos industrializados,TBCA
Gelatina de cereja em pó,Alimentos industrializados,TBCA
Gelatina de framboesa em pó (Ducoco),Alimentos industrializados,TBCA
Gelatina de framboesa em pó (Oetker),Alimentos industrializados,TBCA
Gelatina de limão em pó (Ducoco),Alimentos industrializados,TBCA
Gelatina de limão em pó (Oetker),Alimentos industrializados,TBCA
Gelatina de maracujá em pó (Ducoco),Alimentos industrializados,TBCA
Gelatina de morango em pó (Ducoco),Alimentos industrializados,TBCA
Gelatina de morango em pó (Oetker),Alimentos industrializados,TBCA
Gelatina de pêssego em pó (Oetker),Alimentos industrializados,TBCA
Gelatina de tuti-fruti em pó (Oetker),Alimentos industrializados,TBCA
Gelatina de uva em pó (Ducoco),Alimentos industrializados,TBCA
Gelatina de uva em pó (Oetker),Alimentos industrializados,TBCA
Gelatina em pó,Alimentos industrializados,TBCA
Gelatina sem sabor em pó,Alimentos industrializados,TBCA
Manjar de coco em pó,Alimentos industrializados,TBCA
Maria mole de chocolate em pó,Alimentos industrializados,TBCA
Maria mole de chocolate em pó (Ducoco),Alimentos industrializados,TBCA
Maria mole de chocolate em pó (Oetker),Alimentos industrializados,TBCA
Maria mole de coco em pó (Ducoco),Alimentos industrializados,TBCA
Maria mole de coco em pó (Oetker),Alimentos industrializados,TBCA
Maria mole de coco queimado em pó (Ducoco),Alimentos industrializados,TBCA
Maria mole de coco queimado em pó (Oetker),Alimentos industrializados,TBCA
Maria mole de morango em pó,Alimentos industrializados,TBCA
Maria mole de morango em pó (Ducoco),Alimentos industrializados,TBCA
Maria mole de morango em pó (Oetker),Alimentos industrializados,TBCA
Mingau tradicional em pó,Alimentos industrializados,TBCA
Missôshiru de frango em pó,Alimentos industrializados,TBCA
Missôshiru de legumes em pó,Alimentos industrializados,TBCA
Missoshiru em pó,Alimentos industrializados,TBCA
Missôshiru tradicional em pó,Alimentos industrializados,TBCA
Mistura para bolo,Alimentos industrializados,TBCA
Mistura para bolo de baunilha,Alimentos industrializados,TBCA
Mistura para bolo de chocolate,Alimentos industrializados,TBCA
Mistura para bolo de coco,Alimentos industrializados,TBCA
Mistura para bolo de laranja,Alimentos industrializados,TBCA
Mistura para bolo mármore,Alimentos industrializados,TBCA
Mistura para curau de milho,Alimentos industrializados,TBCA
Mistura para mousse de chocolate,Alimentos industrializados,TBCA
Mistura para mousse de limão,Alimentos industrializados,TBCA
Mistura para mousse de maracujá,Alimentos industrializados,TBCA
Mistura para pão de queijo,Alimentos industrializados,TBCA
Mistura para pudim,Alimentos industrializados,TBCA
Mistura para pudim brigadeirão com chocolate granulado,Alimentos industrializados,TBCA
Mistura para pudim de baunilha,Alimentos industrializados,TBCA
Mistura para pudim de baunilha (Ducoco),Alimentos industrializados,TBCA
Mistura para pudim de baunilha (Oetker),Alimentos industrializados,TBCA
Mistura para pudim de caramelo (Oetker),Alimentos industrializados,TBCA
Mistura para pudim de chocolate (Oetker),Alimentos industrializados,TBCA
Mistura para pudim de chocolate com coco (Ducoco),Alimentos industrializados,TBCA
Mistura para pudim de coco,Alimentos industrializados,TBCA
Mistura para pudim de coco (Ducoco),Alimentos industrializados,TBCA
Mistura para pudim de coco (Oetker),Alimentos industrializados,TBCA
Mistura para pudim de leite (Ducoco),Alimentos industrializados,TBCA
Mistura para pudim de leite com calda caramelo (Oetker),Alimentos industrializados,TBCA
Mistura para pudim de morango (Oetker),Alimentos industrializados,TBCA
Mistura para sagu,Alimentos industrializados,TBCA
Mistura para sagu de framboesa (Ducoco),Alimentos industrializados,TBCA
Mistura para sagu de maracujá (Ducoco),Alimentos industrializados,TBCA
Mistura para sagu de morango (Ducoco),Alimentos industrializados,TBCA
Mistura para sagu de morango (oetker),Alimentos industrializados,TBCA
Mistura para sagu de uva (Ducoco),Alimentos industrializados,TBCA
Mistura para sagu de uva (oetker),Alimentos industrializados,TBCA
Chantily em pó,Alimentos industrializados,TBCA 7.2
Chantily em pó (Chantineve),Alimentos industrializados,TBCA 7.2
Flan de baunilha emm pó (Ducoco),Alimentos industrializados,TBCA 7.2
Flan de chocolate em pó (Oetker),Alimentos industrializados,TBCA 7.2
Flan de chocolate em pó (Oetker),Alimentos industrializados,TBCA 7.2
Flan de coco em pó (Ducoco),Alimentos industrializados,TBCA 7.2
Flan em pó,Alimentos industrializados,TBCA 7.2
Gelatina de abacaxi em pó (Ducoco),Alimentos industrializados,TBCA 7.2
Gelatina de abacaxi em pó (Oetker),Alimentos industrializados,TBCA 7.2
Gelatina de cereja em pó (Ducoco),Alimentos industrializados,TBCA 7.2
Gelatina de cereja em pó (Oetker),Alimentos industrializados,TBCA 7.2
Gelatina de framboesa em pó (Ducoco),Alimentos industrializados,TBCA 7.2
Gelatina de framboesa em pó (Oetker),Alimentos industrializados,TBCA 7.2
Gelatina de limão em pó (Ducoco),Alimentos industrializados,TBCA 7.2
Gelatina de limão em pó (Oetker),Alimentos industrializados,TBCA 7.2
Gelatina de maracujá  em pó (Ducoco),Alimentos industrializados,TBCA 7.2
Gelatina de morango em pó (Oetker),Alimentos industrializados,TBCA 7.2
